Country OPB Net ID      IP/Hostname     Password        Port
DMR_BB_Berlin   2625    fdmr.dynbox.net passw0rd        62031
DE_Bayern       2628    dmr446.ddnss.de passw0rt        62031
DMR_BB_Berlin_2 26251   fdmr2.dynbox.net        passw0rt        62031
DE_NRW  26252   dmr446-nrw.de   passw0rt        62031
DE_Sachsen      26280   freedmr.multhielemedia.de       passw0rt        62031
DE_Meiner       262801   anjarenet.my-router.de  passw0rd  62031 



#/opt/ADN-DMR-Peer-Server/data/server_ids.tsv


